t_ns,cycles,period_ms.min,period_ms.mean,period_ms.max,period_ms.p95,period_ms.p99,rpc_ms.mean,rpc_ms.max,total_ms.mean,total_ms.max,late,late_run_max,qf_events,qf_retries,qf_blocked_ms,rc.ok,rc.busy,rc.bad,rc.inval,rc.ign,rc.other,exc
1784877036892429304,400,3.06,6.22,13.26,11.74,12.2,2.2,3.94,6.14,12.89,131,1,130,130,1455.01,400,0,0,0,0,0,0
1784877039378842473,400,3.07,6.22,13.08,11.85,12.32,2.25,3.65,6.16,13.04,121,1,121,121,1386.08,400,0,0,0,0,0,0
1784877041863577041,400,2.95,6.21,13.56,11.8,12.43,2.23,3.77,6.16,13.5,126,1,126,126,1432.09,400,0,0,0,0,0,0
1784877044362928682,400,2.84,6.25,12.97,11.93,12.75,2.26,4.37,6.19,12.91,121,1,121,121,1388.15,400,0,0,0,0,0,0
1784877046864283118,400,3.12,6.25,13.16,11.95,12.43,2.27,4.06,6.19,13.11,119,1,119,119,1372.51,400,0,0,0,0,0,0
1784877049370899885,400,2.95,6.25,13.05,11.87,12.4,2.19,3.65,6.21,13.01,131,1,132,132,1480.17,400,0,0,0,0,0,0
1784877051868536137,400,3.01,6.26,13.1,11.76,12.45,2.21,3.64,6.19,13.04,130,1,129,129,1457.09,400,0,0,0,0,0,0
1784877054382818983,400,2.75,6.29,14.39,11.84,12.3,2.24,5.04,6.23,14.33,129,1,129,129,1462,400,0,0,0,0,0,0
1784877056892027282,400,3.03,6.25,13.22,11.9,12.43,2.24,3.78,6.22,13.17,125,1,126,126,1441.39,400,0,0,0,0,0,0
1784877059399306251,400,3.16,6.29,13.6,12.05,12.61,2.28,4.07,6.21,13.55,122,1,121,121,1397.35,400,0,0,0,0,0,0
1784877061905757509,400,2.84,6.27,14.25,11.91,12.57,2.27,5.04,6.2,14.19,121,1,121,121,1396.26,400,0,0,0,0,0,0
1784877064420321046,400,3.11,6.29,13.83,12.01,12.84,2.32,4.62,6.22,13.77,117,1,117,117,1363.17,400,0,0,0,0,0,0
1784877066929553731,400,3.14,6.27,13.6,12.15,12.78,2.31,4.12,6.21,13.51,118,1,118,118,1377.4,400,0,0,0,0,0,0
1784877069441850503,400,3.16,6.28,13.87,12.07,12.74,2.32,4.27,6.22,13.82,118,1,117,117,1363.59,400,0,0,0,0,0,0
1784877071960811760,400,2.97,6.28,12.93,11.99,12.67,2.26,4.14,6.24,12.89,123,1,124,124,1426.31,400,0,0,0,0,0,0
1784877074473519648,400,2.85,6.3,14.5,12.22,12.98,2.31,4.62,6.22,14.44,118,1,117,117,1368.8,400,0,0,0,0,0,0
1784877076986366626,400,2.67,6.26,13.46,12.1,12.91,2.3,4.27,6.22,13.36,121,1,122,122,1406.3,400,0,0,0,0,0,0
1784877079872927480,400,3.19,7.23,13.51,11.99,12.36,2.3,3.59,7.15,13.45,175,10,174,174,1990.52,400,0,0,0,0,0,0
1784877083134284923,400,3.14,8.13,13,11.94,12.75,2.37,3.86,8.09,12.92,224,15,225,225,2562.2,400,0,0,0,0,0,0
