t_ns,cycles,period_ms.min,period_ms.mean,period_ms.max,period_ms.p95,period_ms.p99,rpc_ms.mean,rpc_ms.max,total_ms.mean,total_ms.max,late,late_run_max,qf_events,qf_retries,qf_blocked_ms,rc.ok,rc.busy,rc.bad,rc.inval,rc.ign,rc.other,exc
1784876349285319625,250,7.59,8,8.52,8.07,8.3,2.15,3.47,4.42,6.66,0,0,0,0,0,250,0,0,0,0,0,0
1784876351286269151,250,7.12,8,8.86,8.07,8.37,2.09,3.18,4.28,6.53,0,0,0,0,0,250,0,0,0,0,0,0
1784876353285813294,250,7.36,8,8.63,8.05,8.1,2.06,2.85,4.24,6.19,0,0,0,0,0,250,0,0,0,0,0,0
1784876355285132040,250,7.35,8,8.59,8.05,8.41,2.09,3.88,4.25,6.69,0,0,0,0,0,250,0,0,0,0,0,0
1784876357285825653,250,7.19,8,8.83,8.06,8.4,2.09,3.02,4.28,5.79,0,0,0,0,0,250,0,0,0,0,0,0
1784876359287075755,250,7.43,8,8.51,8.06,8.38,2.11,3.25,4.31,5.65,0,0,0,0,0,250,0,0,0,0,0,0
1784876361285452111,250,7.34,8,8.45,8.06,8.35,2.14,3.47,4.3,5.55,0,0,0,0,0,250,0,0,0,0,0,0
1784876363285770014,250,7.37,8,8.52,8.05,8.3,2.11,2.95,4.33,5.98,0,0,0,0,0,250,0,0,0,0,0,0
1784876365285255686,250,7.28,8,8.43,8.09,8.4,2.08,3.47,4.3,6.21,0,0,0,0,0,250,0,0,0,0,0,0
1784876367285519134,250,7.31,8,8.6,8.07,8.24,2.14,3.55,4.36,6.41,0,0,0,0,0,250,0,0,0,0,0,0
1784876369286156470,250,7.2,8,8.71,8.06,8.14,2.08,3.16,4.24,6.7,0,0,0,0,0,250,0,0,0,0,0,0
1784876371285539553,250,7.35,8,8.61,8.05,8.29,2.09,3.61,4.22,5.95,0,0,0,0,0,250,0,0,0,0,0,0
1784876373285768837,250,7.85,8,8.14,8.04,8.07,2.06,2.86,4.27,5.4,0,0,0,0,0,250,0,0,0,0,0,0
1784876375285119112,250,7.36,8,8.56,8.04,8.26,2.05,3.22,4.2,5.83,0,0,0,0,0,250,0,0,0,0,0,0
1784876377285627598,250,7.4,8,8.56,8.06,8.3,2.11,3.4,4.31,6,0,0,0,0,0,250,0,0,0,0,0,0
1784876379285150171,250,7.16,8,8.82,8.08,8.28,2.11,3.12,4.3,6.02,0,0,0,0,0,250,0,0,0,0,0,0
1784876381285679606,250,7.14,8,8.81,8.07,8.3,2.11,3.42,4.23,6.36,0,0,0,0,0,250,0,0,0,0,0,0
1784876383285764030,250,7.18,8,8.75,8.08,8.37,2.11,3.3,4.33,6.21,0,0,0,0,0,250,0,0,0,0,0,0
1784876385285622396,250,7.04,8,8.61,8.13,8.37,2.11,3.29,4.35,6.4,0,0,0,0,0,250,0,0,0,0,0,0
1784876387285481716,250,7.32,8,8.69,8.09,8.34,2.12,3.36,4.35,5.97,0,0,0,0,0,250,0,0,0,0,0,0
1784876389287062677,250,7.28,8,8.7,8.08,8.3,2.13,3.04,4.34,5.9,0,0,0,0,0,250,0,0,0,0,0,0
1784876391285857156,250,7.58,8,8.38,8.07,8.2,2.14,3.4,4.37,6.76,0,0,0,0,0,250,0,0,0,0,0,0
1784876393285373646,250,7.32,8,8.61,8.05,8.28,2.11,3.41,4.29,6.07,0,0,0,0,0,250,0,0,0,0,0,0
1784876395287263254,250,7.16,8,8.84,8.07,8.23,2.08,3.3,4.25,5.74,0,0,0,0,0,250,0,0,0,0,0,0
1784876397285821851,250,7.65,8,8.35,8.04,8.17,2.08,3.29,4.22,6.01,0,0,0,0,0,250,0,0,0,0,0,0
1784876399285631032,250,7.77,8,8.29,8.06,8.22,2.12,3.6,4.32,6.52,0,0,0,0,0,250,0,0,0,0,0,0
1784876401286029634,250,7.71,8,8.32,8.06,8.22,2.13,3.52,4.35,7.76,0,0,0,0,0,250,0,0,0,0,0,0
1784876403285857763,250,7.33,8,8.66,8.09,8.31,2.12,3.57,4.32,6.87,0,0,0,0,0,250,0,0,0,0,0,0
1784876405285924331,250,7.57,8,8.39,8.06,8.28,2.09,3.49,4.26,6.57,0,0,0,0,0,250,0,0,0,0,0,0
1784876407286719135,250,7.46,8,8.52,8.06,8.33,2.12,3.55,4.33,6.54,0,0,0,0,0,250,0,0,0,0,0,0
1784876409285861646,250,7.12,8,8.85,8.1,8.29,2.12,3.2,4.33,6.86,0,0,0,0,0,250,0,0,0,0,0,0
1784876411286333552,250,7.23,8,8.76,8.08,8.34,2.16,3.43,4.38,6.34,0,0,0,0,0,250,0,0,0,0,0,0
1784876413285993898,250,7.71,8,8.29,8.05,8.16,2.03,2.71,4.18,5.89,0,0,0,0,0,250,0,0,0,0,0,0
1784876415285716763,250,7.16,8,8.83,8.06,8.39,2.1,3.19,4.29,7.23,0,0,0,0,0,250,0,0,0,0,0,0
1784876417285012812,250,7.09,8,8.89,8.13,8.6,2.13,3.7,4.32,6.42,0,0,0,0,0,250,0,0,0,0,0,0
1784876419286598768,250,7.2,8,8.76,8.07,8.5,2.14,3.31,4.39,7.25,0,0,0,0,0,250,0,0,0,0,0,0
1784876421285750688,250,7.71,8,8.2,8.05,8.11,2.18,3.12,4.42,6.77,0,0,0,0,0,250,0,0,0,0,0,0
1784876423287397955,250,7.29,8,8.7,8.17,8.41,2.16,3.35,4.37,6.3,0,0,0,0,0,250,0,0,0,0,0,0
1784876425285527812,250,7.56,8,8.36,8.09,8.33,2.06,3.39,4.24,6.25,0,0,0,0,0,250,0,0,0,0,0,0
1784876427286424387,250,7.51,8,8.44,8.08,8.35,2.12,3.66,4.37,6.27,0,0,0,0,0,250,0,0,0,0,0,0
1784876429285426447,250,7.31,8,8.69,8.1,8.34,2.12,3.26,4.3,5.66,0,0,0,0,0,250,0,0,0,0,0,0
1784876431285503257,250,7.48,8,8.51,8.04,8.15,2.07,3.66,4.18,6.4,0,0,0,0,0,250,0,0,0,0,0,0
1784876433287477100,250,7.11,8,8.87,8.07,8.67,2.11,3.25,4.3,6.53,0,0,0,0,0,250,0,0,0,0,0,0
1784876435285286564,250,7.59,8,8.46,8.05,8.24,2.07,2.92,4.25,6.32,0,0,0,0,0,250,0,0,0,0,0,0
1784876437285764046,250,7.38,8,8.61,8.12,8.48,2.15,3.5,4.4,6.51,0,0,0,0,0,250,0,0,0,0,0,0
1784876439288793754,250,7.19,8,8.83,8.07,8.23,2.14,3.6,4.35,7.05,0,0,0,0,0,250,0,0,0,0,0,0
1784876441285765859,250,7.11,8,8.91,8.07,8.66,2.15,3.68,4.41,7.02,0,0,0,0,0,250,0,0,0,0,0,0
1784876443285721211,250,7.63,8,8.39,8.05,8.35,2.08,3.2,4.28,5.95,0,0,0,0,0,250,0,0,0,0,0,0
1784876445285352628,250,7.37,8,8.8,8.08,8.39,2.13,3.29,4.34,6.34,0,0,0,0,0,250,0,0,0,0,0,0
1784876447286880105,250,7.7,8,8.28,8.05,8.21,2.11,3.38,4.27,6.3,0,0,0,0,0,250,0,0,0,0,0,0
1784876449285970315,250,7.35,8,8.65,8.07,8.3,2.15,3.54,4.34,6.65,0,0,0,0,0,250,0,0,0,0,0,0
1784876451285796322,250,7.32,8,8.66,8.09,8.39,2.11,3.25,4.33,6.36,0,0,0,0,0,250,0,0,0,0,0,0
1784876453285230580,250,7.88,8,8.15,8.06,8.08,2.04,2.96,4.19,5.94,0,0,0,0,0,250,0,0,0,0,0,0
1784876455285499646,250,7.18,8,8.8,8.07,8.33,2.04,3.06,4.16,5.7,0,0,0,0,0,250,0,0,0,0,0,0
